2740 24944
0 Metamorphosis 1
1 Franz 1
2 Kafka 1
3 Translated 1
4 by 54
5 David 1
6 Wyllie 1
7 I 86
8 One 7
9 morning 22
10 , 1292
11 when 61
12 Gregor 289
13 Samsa 34
14 woke 2
15 from 116
16 troubled 1
17 dreams 2
18 he 504
19 found 13
20 himself 87
21 transformed 1
22 in 339
23 his 524
24 bed 29
25 into 78
26 a 283
27 horrible 3
28 vermin 1
29 . 700
30 He 85
31 lay 19
32 on 147
33 armour-like 1
34 back 82
35 and 612
36 if 87
37 lifted 6
38 head 38
39 little 49
40 could 126
41 see 39
42 brown 4
43 belly 3
44 slightly 8
45 domed 1
46 divided 1
47 arches 1
48 stiff 3
49 sections 1
50 The 51
51 bedding 1
52 was 410
53 hardly 13
54 able 23
55 to 753
56 cover 1
57 it 328
58 seemed 26
59 ready 4
60 slide 1
61 off 19
62 any 47
63 moment 10
64 His 26
65 many 5
66 legs 20
67 pitifully 1
68 thin 2
69 compared 1
70 with 194
71 the 1097
72 size 2
73 of 429
74 rest 7
75 him 188
76 waved 1
77 about 65
78 helplessly 1
79 as 233
80 looked 29
81 `` 140
82 What 15
83 's 176
84 happened 15
85 me 17
86 ? 55
87 '' 122
88 thought 32
89 It 39
90 n't 58
91 dream 2
92 room 131
93 proper 3
94 human 5
95 although 17
96 too 30
97 small 4
98 peacefully 3
99 between 7
100 its 18
101 four 4
102 familiar 2
103 walls 7
104 A 2
105 collection 2
106 textile 1
107 samples 3
108 spread 7
109 out 113
110 table 19
111 - 76
112 travelling 7
113 salesman 2
114 above 4
115 there 98
116 hung 4
117 picture 6
118 that 329
119 had 352
120 recently 3
121 cut 5
122 an 30
123 illustrated 1
124 magazine 1
125 housed 1
126 nice 7
127 gilded 1
128 frame 2
129 showed 3
130 lady 4
131 fitted 2
132 fur 4
133 hat 4
134 boa 1
135 who 32
136 sat 14
137 upright 9
138 raising 4
139 heavy 4
140 muff 1
141 covered 9
142 whole 18
143 her 183
144 lower 7
145 arm 4
146 towards 12
147 viewer 1
148 then 70
149 turned 19
150 look 22
151 window 19
152 at 158
153 dull 2
154 weather 2
155 Drops 1
156 rain 3
157 be 118
158 heard 19
159 hitting 2
160 pane 2
161 which 34
162 made 40
163 feel 19
164 quite 30
165 sad 3
166 How 3
167 sleep 14
168 bit 4
169 longer 18
170 forget 6
171 all 129
172 this 79
173 nonsense 1
174 but 139
175 something 27
176 unable 6
177 do 55
178 because 21
179 used 20
180 sleeping 6
181 right 19
182 present 8
183 state 10
184 get 44
185 position 8
186 However 2
187 hard 12
188 threw 5
189 onto 21
190 always 18
191 rolled 3
192 where 36
193 must 18
194 have 109
195 tried 12
196 hundred 1
197 times 15
198 shut 9
199 eyes 19
200 so 83
201 would 188
202 floundering 1
203 only 58
204 stopped 9
205 began 18
206 mild 1
207 pain 10
208 never 20
209 felt 15
210 before 36
211 Oh 5
212 God 7
213 what 60
214 strenuous 1
215 career 1
216 is 28
217 I've 1
218 chosen 2
219 ! 43
220 Travelling 1
221 day 28
222 Doing 1
223 business 15
224 like 36
225 takes 1
226 much 38
227 more 71
228 effort 10
229 than 55
230 doing 13
231 your 15
232 own 10
233 home 19
234 top 3
235 curse 2
236 worries 2
237 making 11
238 train 9
239 connections 1
240 bad 3
241 irregular 1
242 food 14
243 contact 1
244 different 7
245 people 6
246 time 59
247 you 53
248 can 15
249 know 17
250 anyone 8
251 or 41
252 become 19
253 friendly 5
254 them 64
255 go 40
256 Hell 1
257 slight 4
258 itch 2
259 up 81
260 ; 170
261 pushed 12
262 slowly 22
263 headboard 1
264 lift 3
265 better 20
266 saw 12
267 lots 1
268 white 7
269 spots 1
270 did 81
271 make 23
272 place 8
273 one 50
274 drew 4
275 quickly 11
276 soon 30
277 touched 4
278 overcome 5
279 cold 3
280 shudder 1
281 slid 3
282 former 1
283 Getting 1
284 early 6
285 makes 2
286 stupid 2
287 You 8
288 've 8
289 got 21
290 enough 20
291 Other 2
292 salesmen 3
293 live 4
294 life 13
295 luxury 1
296 For 8
297 instance 2
298 whenever 5
299 guest 1
300 house 2
301 during 5
302 copy 1
303 contract 1
304 these 12
305 gentlemen 24
306 are 6
307 still 44
308 sitting 3
309 eating 8
310 their 68
311 breakfasts 2
312 ought 4
313 just 46
314 try 6
315 my 20
316 boss 11
317 'd 11
318 kicked 1
319 spot 3
320 But 32
321 knows 1
322 maybe 4
323 best 4
324 thing 11
325 for 158
326 If 16
327 parents 26
328 think 20
329 given 6
330 notice 8
331 long 21
332 ago 3
333 gone 5
334 told 9
335 tell 6
336 everything 29
337 let 28
338 fall 8
339 desk 9
340 And 30
341 funny 1
342 sort 6
343 talking 4
344 down 35
345 subordinates 1
346 especially 12
347 close 12
348 hearing 2
349 Well 5
350 some 39
351 hope 4
352 once 15
353 money 13
354 together 9
355 pay 5
356 ' 2
357 debt 3
358 another 8
359 five 6
360 six 3
361 years 7
362 suppose 1
363 definitely 2
364 'll 17
365 That 14
366 big 3
367 change 4
368 First 2
369 though 30
370 leaves 1
371 over 32
372 alarm 6
373 clock 5
374 ticking 1
375 chest 14
376 drawers 9
377 Heaven 1
378 half 7
379 past 6
380 hands 19
381 were 66
382 quietly 5
383 moving 11
384 forwards 4
385 even 78
386 later 11
387 quarter 6
388 seven 8
389 Had 2
390 not 177
391 rung 2
392 been 101
393 set 11
394 o'clock 7
395 should 16
396 certainly 13
397 Yes 5
398 possible 18
399 through 19
400 furniture-rattling 1
401 noise 8
402 True 1
403 slept 2
404 probably 15
405 deeply 3
406 now 76
407 next 18
408 went 32
409 catch 4
410 rush 5
411 mad 2
412 packed 1
413 particularly 2
414 fresh 6
415 lively 3
416 avoid 3
417 anger 3
418 office 6
419 assistant 2
420 put 14
421 report 3
422 being 26
423 man 7
424 spineless 1
425 no 56
426 understanding 3
427 reported 1
428 sick 1
429 extremely 3
430 strained 1
431 suspicious 3
432 fifteen 2
433 service 2
434 yet 2
435 ill. 2
436 come 28
437 round 25
438 doctor 7
439 medical 1
440 insurance 1
441 company 3
442 accuse 2
443 having 8
444 lazy 1
445 son 2
446 accept 1
447 recommendation 1
448 claim 1
449 believed 1
450 no-one 11
451 ever 11
452 ill 5
453 workshy 1
454 what's 1
455 entirely 4
456 wrong 6
457 case 1
458 fact 5
459 apart 3
460 excessive 1
461 sleepiness 1
462 after 34
463 completely 9
464 well 26
465 hungrier 2
466 usual 5
467 hurriedly 7
468 thinking 1
469 decide 1
470 struck 6
471 There 8
472 cautious 2
473 knock 3
474 door 87
475 near 7
476 somebody 4
477 called 14
478 mother 84
479 Did 3
480 want 11
481 somewhere 4
482 gentle 1
483 voice 17
484 shocked 5
485 answering 1
486 recognised 1
487 As 9
488 deep 3
489 inside 3
490 painful 2
491 uncontrollable 1
492 squeaking 1
493 mixed 3
494 words 12
495 first 42
496 echo 1
497 unclear 1
498 leaving 6
499 hearer 1
500 unsure 1
501 whether 10
502 properly 3
503 wanted 28
504 give 11
505 full 7
506 answer 4
507 explain 2
508 circumstances 2
509 contented 1
510 saying 4
511 : 22
512 yes 3
513 thank-you 1
514 'm 12
515 getting 6
516 noticed 9
517 outside 5
518 wooden 2
519 satisfied 1
520 explanation 3
521 shuffled 1
522 away 32
523 short 5
524 conversation 7
525 other 43
526 members 2
527 family 32
528 aware 6
529 against 27
530 expectations 1
531 father 99
532 came 31
533 knocking 3
534 side 22
535 doors 10
536 gently 4
537 fist 2
538 while 40
539 again 39
540 warning 1
541 deepness 1
542 At 11
543 sister 101
544 plaintively 1
545 Are 2
546 Do 1
547 need 8
548 anything 14
549 answered 4
550 both 7
551 sides 5
552 remove 4
553 strangeness 1
554 enunciating 1
555 very 33
556 carefully 9
557 putting 2
558 pauses 1
559 each 17
560 individual 2
561 word 8
562 breakfast 7
563 whispered 2
564 open 35
565 beg 2
566 however 8
567 opening 3
568 instead 6
569 congratulated 1
570 habit 6
571 acquired 2
572 locking 1
573 night 10
574 peace 8
575 without 39
576 disturbed 4
577 dressed 9
578 most 11
579 Only 3
580 consider 3
581 bring 8
582 thoughts 4
583 sensible 4
584 conclusions 2
585 lying 6
586 remembered 3
587 often 15
588 perhaps 15
589 caused 6
590 awkwardly 1
591 pure 1
592 imagination 1
593 wondered 1
594 how 26
595 imaginings 1
596 resolve 1
597 themselves 10
598 today 4
599 slightest 6
600 doubt 1
601 nothing 16
602 sign 8
603 serious 7
604 occupational 1
605 hazard 1
606 simple 3
607 matter 2
608 throw 5
609 covers 2
610 blow 2
611 they 138
612 fell 9
613 became 15
614 difficult 7
615 exceptionally 1
616 broad 3
617 arms 13
618 push 4
619 those 4
620 continuously 1
621 directions 3
622 moreover 2
623 control 3
624 bend 2
625 stretch 3
626 itself 4
627 finally 10
628 managed 3
629 leg 1
630 others 8
631 free 6
632 move 16
633 painfully 6
634 This 13
635 ca 8
636 done 12
637 said 51
638 keep 11
639 trying 4
640 part 7
641 body 24
642 seen 13
643 imagine 2
644 almost 18
645 frenzy 1
646 carelessly 1
647 shoved 1
648 force 8
649 gather 2
650 chose 1
651 direction 4
652 hit 4
653 bedpost 1
654 learned 5
655 burning 1
656 might 17
657 sensitive 2
658 So 14
659 turning 7
660 easily 5
661 despite 9
662 breadth 1
663 weight 3
664 bulk 1
665 eventually 1
666 followed 5
667 last 11
668 air 6
669 occurred 3
670 miracle 2
671 injured 3
672 afraid 3
673 carry 7
674 pushing 4
675 forward 12
676 same 16
677 way 62
678 price 2
679 stay 11
680 lose 1
681 consciousness 1
682 took 18
683 earlier 7
684 sighing 1
685 watching 3
686 struggled 1
687 harder 5
688 bringing 3
689 order 7
690 chaos 1
691 whatever 2
692 sacrifice 2
693 remind 2
694 calm 7
695 consideration 5
696 rushing 1
697 desperate 1
698 direct 2
699 clearly 9
700 unfortunately 6
701 narrow 3
702 street 6
703 enveloped 1
704 fog 2
705 view 4
